symbol,module,params,signal_date,entry_date,entry_price,exit_date,exit_price,r_net,entry_reason,exit_reason,trend_stage,benchmark_clock_type
510300.SS,B,20/4%,2024-09-26,2024-09-27,3.489,2024-11-25,3.744,0.5052,密集区突破入场（B2 突破版）：收盘突破密集区上沿，下一根开盘入场；失效 = 跌回密集区且跌破 20 组下弯（B3 两动作齐备）,exit_a6_1_costbasis,2,4
510300.SS,B,20/4%,2025-04-18,2025-04-21,3.654,2025-04-22,3.664,-0.0,密集区突破入场（B2 突破版）：收盘突破密集区上沿，下一根开盘入场；失效 = 跌回密集区且跌破 20 组下弯（B3 两动作齐备）,exit_a6_1_costbasis,0,3
510300.SS,A,cm0.5+shrink,2025-08-05,2025-08-06,4.058,2025-10-20,4.528,7.1875,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=EMA20收复,exit_a6_1_costbasis,4,2
510300.SS,A,cm0.5+shrink,2025-08-08,2025-08-11,4.06,2025-10-20,4.528,38.1667,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,exit_a6_1_costbasis,4,2
510300.SS,A,cm0.5+shrink,2025-09-09,2025-09-10,4.403,2025-10-20,4.528,4.7917,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,exit_a6_1_costbasis,4,2
510300.SS,A,cm0.5+shrink,2026-02-04,2026-02-05,4.68,2026-02-06,4.643,-0.4947,SMA120 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=EMA20收复,exit_a6_1_costbasis,1,2
510300.SS,A,cm0.5+shrink,2026-02-09,2026-02-10,4.733,2026-02-24,4.725,-0.1463,SMA60 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,exit_a6_1_costbasis,1,2
510300.SS,A,cm0.5+shrink,2026-02-09,2026-02-10,4.733,2026-02-24,4.725,-0.1463,SMA120 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,exit_a6_1_costbasis,1,2
510300.SS,A,cm0.5+shrink,2026-03-12,2026-03-13,4.672,2026-03-16,4.675,-1.0,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,exit_a6_1_costbasis,1,2
510300.SS,B,20/4%,2026-04-20,2026-04-21,4.764,2026-06-08,4.79,0.0446,密集区突破入场（B2 突破版）：收盘突破密集区上沿，下一根开盘入场；失效 = 跌回密集区且跌破 20 组下弯（B3 两动作齐备）,exit_a6_1_costbasis,2,3
510300.SS,A,cm0.5+shrink,2026-05-28,2026-05-29,4.946,2026-06-08,4.79,-2.075,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,structure_stop_C,4,3
510300.SS,B,20/4%,2026-06-12,2026-06-15,4.858,2026-06-29,4.897,0.2071,密集区突破入场（B2 突破版）：收盘突破密集区上沿，下一根开盘入场；失效 = 跌回密集区且跌破 20 组下弯（B3 两动作齐备）,exit_a6_1_costbasis,0,3
510300.SS,A,cm0.5+shrink,2026-06-30,2026-07-01,5.009,2026-07-03,4.83,-1.3217,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=EMA20收复,structure_stop_C,4,2
510300.SS,A,cm0.5+shrink,2026-06-30,2026-07-01,5.009,2026-07-03,4.83,-1.3217,SMA60 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=EMA20收复,structure_stop_C,4,2
